id,type,title,milestone,labels,blocked_by,effort,panels,spec,acceptance,description
AP-0.3,work_package,AP-0.3 · Acceptance matrix as a test registry (everything red),Stage 0 — Workbench,"acceptance/blocker,effort/S,panel/A,panel/Q,stage/0",AP-0.1,S,"A-06, Q-02","SP-A06-1, §0.3",,"**Stage:** 0 · **Panels:** A-06, Q-02 · **Effort:** S
**Blocked by:** AP-0.1
**Specification:** SP-A06-1, §0.3
**Acceptance:** — (a precondition, no row of its own)

### Goal
Whoever writes the acceptance list first and builds afterwards has turned an architecture document into a build order. From here on progress is measurable: rows turn green, not files grow more numerous.

### Tasks
- [ ] Carry every check from 03-acceptance-matrix.md over as a registry entry
- [ ] Per entry: identifier, kind (S/M/D/P), state, the work package it belongs to
- [ ] `make acceptance` reports the count green/red/open and exits with 1 as soon as anything is red

### Done when
- `make acceptance` runs through and reports: 0 green, all red.

### Boundary of this issue
No check is implemented here — only registered."
AP-1.1,work_package,AP-1.1 · Bare mkosi image with the kernel requirements from A-02,Stage 1 — Base and measurement,"effort/M,kind/image,panel/A,panel/E,stage/1",AP-0.2,M,"A-01, A-02, E-01","SP-A02-2, SP-A02-3, SP-A02-4, SP-E01-1","AB-E01-1, AB-A02-1, AB-A01-1","**Stage:** 1 · **Panels:** A-01, A-02, E-01 · **Effort:** M
**Blocked by:** AP-0.2
**Specification:** SP-A02-2, SP-A02-3, SP-A02-4, SP-E01-1
**Acceptance:** AB-E01-1, AB-A02-1, AB-A01-1

### Goal
The reason for an image of your own is not disk space but attack surface, reproducibility and update discipline. With mkosi the kernel configuration is a file — the measurement from A-06 then changes one line instead of an architecture.

### Tasks
- [ ] Kernel: cgroup v2 unified + PSI, overlayfs, btrfs/XFS with reflink, user namespaces, seccomp, Landlock, zram+zstd, CONFIG_CHECKPOINT_RESTORE, KVM, io_uring
- [ ] Out: unused filesystems, sound, legacy drivers
- [ ] Userland: systemd, containerd+runc (optionally runsc), btrfs-progs, nftables, time synchronization
- [ ] No toolchains, no editors, no man pages, no locales except C.UTF-8
- [ ] The role activates units only, it does not change the content (SP-A03-5)

### Done when
- The image boots in a VM, / read-only under dm-verity.

### Boundary of this issue
No platform binary, no database. The image carries nothing yet at this point."
AP-1.2,work_package,AP-1.2 · A-06 as a script: the thirteen checks of the image,Stage 1 — Base and measurement,"acceptance/blocker,effort/M,kind/image,panel/A,panel/B,panel/K,panel/R,panel/T,stage/1","AP-1.1, AP-0.3",M,"A-06, R-C, T-04, B-01, K-04","SP-A06-1, SP-K04-7, SP-B01-2","AB-A06-1, AB-A06-2, AB-A06-3, AB-A06-4, AB-A06-5, AB-A06-6, AB-A06-7, AB-A06-8, AB-A03-3, AB-B01-2, AB-K04-7, AB-A05-2","**Stage:** 1 · **Panels:** A-06, R-C, T-04, B-01, K-04 · **Effort:** M
**Blocked by:** AP-1.1, AP-0.3
**Specification:** SP-A06-1, SP-K04-7, SP-B01-2
**Acceptance:** AB-A06-1, AB-A06-2, AB-A06-3, AB-A06-4, AB-A06-5, AB-A06-6, AB-A06-7, AB-A06-8, AB-A03-3, AB-B01-2, AB-K04-7, AB-A05-2

### Goal
Done is not boots. This list checks the preconditions one by one and names the panel that falls when a check is red.

### Tasks
- [ ] Run acceptance/a06-acceptance.sh against the VM
- [ ] Check cgroup v2 + PSI, reflink O(1), userns/seccomp/landlock, freezer + zram(zstd), CRIU dump/restore in full
- [ ] Inventory against the SBOM, dm-verity active, no inbound ports, clock synchronized
- [ ] Run the fallback after three failed starts once as a drill (damage the image deliberately)
- [ ] The five rows not yet checkable report SKIP with the work package in which they turn green

### Done when
- Eight checks green, five as SKIP with a reference, no FAIL.

### Boundary of this issue
CRIU is the row E-01 hangs on: if the kernel options are missing and cannot be set, the base changes (NixOS) — not the order."
AP-1.3,work_package,AP-1.3 · Calibration run: measure the five constants from E-05,Stage 1 — Base and measurement,"effort/M,measurement,panel/A,panel/E,panel/R,stage/1",AP-1.2,M,"E-05, R-D, A-06","SP-RD-3, SP-A06-1","AB-A06-13, AB-A06-4, AB-E05-1","**Stage:** 1 · **Panels:** E-05, R-D, A-06 · **Effort:** M
**Blocked by:** AP-1.2
**Specification:** SP-RD-3, SP-A06-1
**Acceptance:** AB-A06-13, AB-A06-4, AB-E05-1

### Goal
The five constants are planning values of the occupancy table, not operating values. The calibration run replaces the given numbers with measured ones — it changes numbers, not rules.

### Tasks
- [ ] Create 500 pods, 20 active (A-06, last row)
- [ ] Measure: host and runtime per role, page cache baseline, pages per frozen pod, zram factor, active pod (cores and MB)
- [ ] Derive hysteresis and hold times of the PSI thresholds (OP-6)
- [ ] Record the measured numbers in decisions/E-05.md next to the given ones; R-D computes with the measured ones

### Done when
- Five measured numbers stand in decisions/E-05.md. MEASUREMENT of this stage.

### Boundary of this issue
No tuning. What is, gets measured — not what could be, optimized."
AP-2.1,work_package,"AP-2.1 · platform.proto: one interface schema, a linter for additive fields",Stage 2 — The contract,"effort/M,kind/contract,panel/E,panel/T,stage/2",AP-0.1,M,"E-10, T-04","SP-E10-1, SP-E10-3, SP-E10-4, SP-E10-5, SP-T04-4","AB-E10-1, AB-E10-3, AB-E10-5, AB-T04-4","**Stage:** 2 · **Panels:** E-10, T-04 · **Effort:** M
**Blocked by:** AP-0.1
**Specification:** SP-E10-1, SP-E10-3, SP-E10-4, SP-E10-5, SP-T04-4
**Acceptance:** AB-E10-1, AB-E10-3, AB-E10-5, AB-T04-4

### Goal
From the adapter through to the gate, exactly one interface schema in the system. Field numbers die, they are never reassigned — that is the migration rule from V-05, enforced by the schema.

### Tasks
- [ ] Take over contract/platform.proto and complete it
- [ ] Services: ControlPlane, GitGate, EgressGate, Harness
- [ ] A schema linter in CI: a removed or reassigned field number is rejected
- [ ] Carry the platform field in the envelope from the start, so that Windows/macOS runners are not a rebuild later
- [ ] Export and audit trail render from the same definitions

### Done when
- The linter rejects a probe with a repurposed field number.

### Boundary of this issue
No implementation of the services. Only the contract."
AP-2.2,work_package,AP-2.2 · Postgres schema (K-01) and an additive migration tool,Stage 2 — The contract,"effort/M,kind/contract,panel/E,panel/K,panel/V,stage/2",AP-2.1,M,"K-01, V-05, E-02","SP-K01-1 through SP-K01-9, SP-V05-2, SP-E02-2","AB-K01-1, AB-K01-2, AB-K01-3, AB-K01-4, AB-K01-5, AB-V05-2","**Stage:** 2 · **Panels:** K-01, V-05, E-02 · **Effort:** M
**Blocked by:** AP-2.1
**Specification:** SP-K01-1 through SP-K01-9, SP-V05-2, SP-E02-2
**Acceptance:** AB-K01-1, AB-K01-2, AB-K01-3, AB-K01-4, AB-K01-5, AB-V05-2

### Goal
You can only build an image out of fields. cell and project on every table are not a convenience but the precondition for migration, deletion, cost attribution and incident radius.

### Tasks
- [ ] Take over contract/schema.sql; cell and project NOT NULL everywhere
- [ ] UUID v7 from the producer, no central counter
- [ ] No secret as a column, only references — a schema checker in CI
- [ ] A migration tool that rejects removing migrations (extend, read both, remove)
- [ ] decision_ref instead of a decision table: decisions lie in Git

### Done when
- A migration that removes a column is rejected by the tool.

### Boundary of this issue
No queue logic yet, no scheduler. Only structure and rules."
AP-2.3,work_package,"AP-2.3 · State machine as a database contract: one field, one writer",Stage 2 — The contract,"acceptance/blocker,effort/M,kind/contract,panel/K,stage/2",AP-2.2,M,K-02,SP-K02-1 through SP-K02-7,"AB-K02-1, AB-K02-2, AB-K02-3, AB-K02-5","**Stage:** 2 · **Panels:** K-02 · **Effort:** M
**Blocked by:** AP-2.2
**Specification:** SP-K02-1 through SP-K02-7
**Acceptance:** AB-K02-1, AB-K02-2, AB-K02-3, AB-K02-5

### Goal
Two writers on the same field are the beginning of every double execution, and only under load, which means only in production. That is why the rule lives in the database, not in the application.

### Tasks
- [ ] A transition table with a writer column, a trigger that rejects the wrong writer
- [ ] attempt as the unit of retry; same order.id, same idempotency key, new attempt
- [ ] cause is mandatory in every terminal state; the set from Q-03 and F-04
- [ ] No backward transition out of a terminal state
- [ ] Set the lease duration and heartbeat interval (OP-4)

### Done when
- The probe “worker writes queued → leased” fails at the database level, not in the application.

### Boundary of this issue
Granting the lease itself comes in AP-6.2. Here only the contract about who may write."
AP-2.4,work_package,AP-2.4 · Authority as a Biscuit token: attenuation as cryptography,Stage 2 — The contract,"acceptance/blocker,effort/L,kind/contract,panel/E,panel/K,panel/T,stage/2",AP-2.1,L,"K-04, E-10, T-01","SP-K04-1 through SP-K04-8, SP-E10-2","AB-K04-1, AB-K04-2, AB-K04-3, AB-K04-6","**Stage:** 2 · **Panels:** K-04, E-10, T-01 · **Effort:** L
**Blocked by:** AP-2.1
**Specification:** SP-K04-1 through SP-K04-8, SP-E10-2
**Acceptance:** AB-K04-1, AB-K04-2, AB-K04-3, AB-K04-6

### Goal
As an attached field, “no LLM raises the authority” is an agreement between components. As a signed token it is a property. No JWT (no offline attenuation), no Macaroons (a shared standing secret in every gate).

### Tasks
- [ ] An issuer per cell; the public verification key as trust_anchor in the image
- [ ] An attenuation library: every hop may add conditions, none may remove them
- [ ] Verification at three places, in full: control API, Git proxy, egress proxy
- [ ] A revocation ID per block; a revocation list per project, distributed on the line of the egress allowlist
- [ ] Static stability: the last known revocation list holds, new authorities are refused

### Done when
- The probe “a block widens targets” is cryptographically impossible, not merely rejected.

### Boundary of this issue
No path on which a model output changes level, targets or budget. Authority is granted by code, never by a model."
AP-2.5,work_package,AP-2.5 · Node certificate format and mTLS scaffolding (role and cell in the name),Stage 2 — The contract,"effort/S,kind/contract,panel/B,panel/E,stage/2",AP-2.1,S,"B-01, E-10","SP-B01-1, SP-B01-3, SP-E10-2",AB-B01-3,"**Stage:** 2 · **Panels:** B-01, E-10 · **Effort:** S
**Blocked by:** AP-2.1
**Specification:** SP-B01-1, SP-B01-3, SP-E10-2
**Acceptance:** AB-B01-3

### Goal
Role and cell stand in the name of the identity, not in a table beside it. That lets the control plane check “work node from cell B” as a statement instead of accepting it as a claim.

### Tasks
- [ ] Define and document the naming scheme
- [ ] mTLS on both sides for all gRPC connections
- [ ] The certificate says who, the token says what is allowed — keep the two separate

### Done when
- The control plane rejects a node whose cell name does not match its claim.

### Boundary of this issue
Enrollment itself comes in AP-6.1. Here only the format, because stage 3 already builds against it."
AP-3.1,work_package,"AP-3.1 · Boot role=all: four slices, memory.min, separate disks","Stage 3 — Smallest system, without a captain","effort/M,kind/platform,panel/A,panel/R,panel/V,stage/3","AP-1.3, AP-2.2",M,"A-02, A-04, A-05, V-01, R-C","SP-A02-1, SP-A04-1 through SP-A04-5, SP-A05-1 through SP-A05-4, SP-V01-1, SP-RC-4","AB-V01-1, AB-RC-4, AB-A04-1, AB-A04-3, AB-A05-1, AB-E02-1","**Stage:** 3 · **Panels:** A-02, A-04, A-05, V-01, R-C · **Effort:** M
**Blocked by:** AP-1.3, AP-2.2
**Specification:** SP-A02-1, SP-A04-1 through SP-A04-5, SP-A05-1 through SP-A05-4, SP-V01-1, SP-RC-4
**Acceptance:** AB-V01-1, AB-RC-4, AB-A04-1, AB-A04-3, AB-A05-1, AB-E02-1

### Goal
The same image, one boot variable — the pattern of Consul, Nomad and Vault. On a small machine the four layers are cgroup slices, in the cluster they are nodes of their own.

### Tasks
- [ ] Four systemd slices: control, captain, knowledge, work
- [ ] memory.min on the system slice (default 4 GB), memory.oom.group=1 on pod slices
- [ ] Disk layout: system A/B, encrypted /var, /data/work, /data/db
- [ ] Start sequence A-04: verity → disk → enroll → role → selftest → register
- [ ] A failed selftest means: do not enroll

### Done when
- A node starts along A-04 and enrolls only after passing the selftest.

### Boundary of this issue
No reconfiguring afterwards, no SSH. A change is a new image and a new start."
AP-3.2,work_package,"AP-3.2 · CLI adapter (T-01): envelope, idempotency, attachments","Stage 3 — Smallest system, without a captain","acceptance/blocker,effort/M,kind/platform,panel/K,panel/T,stage/3","AP-3.1, AP-2.4",M,"T-01, K-01","SP-T01-1, SP-T01-7, SP-K01-6","AB-T01-7, AB-K01-6","**Stage:** 3 · **Panels:** T-01, K-01 · **Effort:** M
**Blocked by:** AP-3.1, AP-2.4
**Specification:** SP-T01-1, SP-T01-7, SP-K01-6
**Acceptance:** AB-T01-7, AB-K01-6

### Goal
There is no list of supported devices, there is an adapter contract. The first adapter is the CLI with a device certificate — level confidential.

### Tasks
- [ ] Implement receive(), identity(), respond(), capabilities()
- [ ] Idempotency key mandatory; UNIQUE (channel, idempotency)
- [ ] Attachments: type and size check at intake, content-addressed, read-only, never executable (OP-5)
- [ ] Attach the authority at intake, unchanged into the pod

### Done when
- The same message delivered twice produces one job, not two.

### Boundary of this issue
Only one adapter. Discord, X, Slack, GitHub come in AP-5.7 — and then as a job, not a release."
AP-3.3,work_package,"AP-3.3 · Runner and workpod: CoW snapshot, resource contract, no network, reaper","Stage 3 — Smallest system, without a captain","acceptance/blocker,effort/L,kind/platform,panel/E,panel/R,panel/T,stage/3",AP-3.1,L,"T-04, T-03, R-A, R-C, E-02","SP-T04-1 through SP-T04-5, SP-T03-1, SP-RA-1 through SP-RA-4, SP-RC-5, SP-E02-4","AB-T04-2, AB-T04-3, AB-T04-5, AB-T03-1, AB-RA-1, AB-RA-2, AB-RA-4, AB-RC-5, AB-B02-3, AB-E02-4","**Stage:** 3 · **Panels:** T-04, T-03, R-A, R-C, E-02 · **Effort:** L
**Blocked by:** AP-3.1
**Specification:** SP-T04-1 through SP-T04-5, SP-T03-1, SP-RA-1 through SP-RA-4, SP-RC-5, SP-E02-4
**Acceptance:** AB-T04-2, AB-T04-3, AB-T04-5, AB-T03-1, AB-RA-1, AB-RA-2, AB-RA-4, AB-RC-5, AB-B02-3, AB-E02-4

### Goal
The workpod is only one form; the abstraction is over Runner. The reaper is mandatory, not optional — without it ten thousand orphaned subvolumes lie on the disk after a week, the most likely way a platform like this tips over.

### Tasks
- [ ] containerd/runc; root filesystem from shared read-only layers
- [ ] Working copy as a CoW snapshot in O(1); image resolution via the requirement hash
- [ ] Resource contract: cpu.weight, memory.high, pids.max, io.latency per the four classes
- [ ] No network, no LLM key, no Git token, no logs in the pod; a Unix socket to the harness
- [ ] Inject MAKEFLAGS, CARGO_BUILD_JOBS, UV_THREADPOOL_SIZE, NODE_OPTIONS, TURBO_CONCURRENCY from the allocation
- [ ] Freeze after 45 s of quiet; a reaper with a lifetime and an idle limit on the worker
- [ ] Mount the harness read-only into every pod (the same binary)

### Done when
- A pod starts in ~200 ms on an image hit; after a simulated worker restart, zero orphaned subvolumes.

### Boundary of this issue
No agent, no model. The runner contract reads: given a working directory and a job, deliver a patch and a report."
AP-3.4,work_package,"AP-3.4 · Pipeline machine (T-05): a fixed spine, seven movable places","Stage 3 — Smallest system, without a captain","effort/M,kind/platform,panel/T,stage/3",AP-3.3,M,T-05,SP-T05-1 through SP-T05-4,"AB-T05-1, AB-T05-2, AB-T05-3","**Stage:** 3 · **Panels:** T-05 · **Effort:** M
**Blocked by:** AP-3.3
**Specification:** SP-T05-1 through SP-T05-4
**Acceptance:** AB-T05-1, AB-T05-2, AB-T05-3

### Goal
Defined once, the same for all thousand jobs — but exchangeable per job at clearly named places. The pipeline is configuration that belongs to the human.

### Tasks
- [ ] prepare · plan · edit · check · repair · deliver · reap as a fixed sequence
- [ ] The seven movable places as job fields, nothing more
- [ ] pipeline@version; no runtime object may change the definition
- [ ] check → repair ends after n rounds with a diff, logs and an assessment (OP-2)

### Done when
- A deliberately unsolvable job ends after n rounds in a named state with a cause.

### Boundary of this issue
A pod that runs in circles for twenty minutes is more expensive than one that gives up after three rounds."
AP-3.5,work_package,"AP-3.5 · Outbox and the two gates (K-03, B-02)","Stage 3 — Smallest system, without a captain","acceptance/blocker,effort/L,kind/platform,panel/B,panel/K,stage/3","AP-3.3, AP-2.4",L,"K-03, B-02, B-01","SP-K03-1 through SP-K03-6, SP-B02-2, SP-B02-4, SP-B01-4","AB-K03-1, AB-K03-2, AB-K03-3, AB-K03-4, AB-K03-5, AB-A06-11, AB-B01-4, AB-B02-2, AB-B02-4","**Stage:** 3 · **Panels:** K-03, B-02, B-01 · **Effort:** L
**Blocked by:** AP-3.3, AP-2.4
**Specification:** SP-K03-1 through SP-K03-6, SP-B02-2, SP-B02-4, SP-B01-4
**Acceptance:** AB-K03-1, AB-K03-2, AB-K03-3, AB-K03-4, AB-K03-5, AB-A06-11, AB-B01-4, AB-B02-2, AB-B02-4

### Goal
V-02 justifies doing without a leader election by arguing that a doubly executed job is harmless. That is not true at the place where a patch becomes a push. Exactly there the design needs its counterpart.

### Tasks
- [ ] outbox with a domain key: order + target + content_hash
- [ ] Git proxy: checks policy, signs itself; the pod has no token
- [ ] Egress proxy on the work node: inserts keys, resolves names, allowlist per job
- [ ] A register for non-idempotent targets: record → execute → acknowledge
- [ ] If the acknowledgement is missing, ask, do not retry — the only place where retrying is forbidden
- [ ] The outbox on /var, surviving the pod and a worker restart

### Done when
- The same job executed twice produces one push, one email, one channel message.

### Boundary of this issue
Credentials lie exclusively in the gates — never on work nodes, never in pods."
AP-3.6,work_package,"AP-3.6 · Budget pots, admission and the halt with two paths","Stage 3 — Smallest system, without a captain","effort/M,kind/platform,panel/E,panel/T,panel/V,stage/3","AP-3.1, AP-2.2",M,"V-04, T-01, E-08","SP-V04-1 through SP-V04-5, SP-T01-8, SP-E08-3","AB-V04-1, AB-V04-2, AB-V04-4, AB-T01-8, AB-E08-3","**Stage:** 3 · **Panels:** V-04, T-01, E-08 · **Effort:** M
**Blocked by:** AP-3.1, AP-2.2
**Specification:** SP-V04-1 through SP-V04-5, SP-T01-8, SP-E08-3
**Acceptance:** AB-V04-1, AB-V04-2, AB-V04-4, AB-T01-8, AB-E08-3

### Goal
Reserve in advance, do not count afterwards: a cost control that only strikes in the evaluation is none. And the halt must take effect even when the API no longer answers — the case in which you need it.

### Tasks
- [x] Three pots: pod_minutes, tokens, money — reservation at admission
- [x] An unspent reservation is released at the terminal state
- [x] Three caps: per envelope, per project, per principal and day (OP-1)
- [x] A limit in pod minutes per principal and channel, not in requests
- [x] halt as a field in admission AND as a file on the control node

### Done when
- With the halt file set and the API switched off, no job is admitted, running ones run to completion.

### Boundary of this issue
Fairness weighting across tenants comes with the second tenant. Here the caps are what count."
AP-3.7,work_package,"AP-3.7 · Scheduler: tokens per phase, four priorities, admission via PSI","Stage 3 — Smallest system, without a captain","acceptance/blocker,effort/L,kind/platform,panel/E,panel/R,panel/V,stage/3","AP-3.3, AP-3.6",L,"R-B, R-C, V-01, E-02, E-05","SP-RB-1 through SP-RB-7, SP-RC-1 through SP-RC-6, SP-V01-4, SP-RD-3, SP-E02-2, SP-E02-5","AB-RB-1, AB-RB-2, AB-RB-3, AB-RB-4, AB-RB-5, AB-RC-1, AB-RC-3, AB-RC-6, AB-RD-3, AB-E05-2, AB-V01-4, AB-E02-2, AB-E02-5","**Stage:** 3 · **Panels:** R-B, R-C, V-01, E-02, E-05 · **Effort:** L
**Blocked by:** AP-3.3, AP-3.6
**Specification:** SP-RB-1 through SP-RB-7, SP-RC-1 through SP-RC-6, SP-V01-4, SP-RD-3, SP-E02-2, SP-E02-5
**Acceptance:** AB-RB-1, AB-RB-2, AB-RB-3, AB-RB-4, AB-RB-5, AB-RC-1, AB-RC-3, AB-RC-6, AB-RD-3, AB-E05-2, AB-V01-4, AB-E02-2, AB-E02-5

### Goal
A single counter of “active slots” is too coarse: 20 jobs can be running while only two are computing. That is the difference between 3 and 20 finished jobs per hour. And utilization is the wrong metric — 100 % CPU is healthy, 40 % CPU pressure means work is being left undone.

### Tasks
- [ ] Tokens per phase: net, io, cpu·ram; whoever waits for a model response returns its CPU token
- [ ] Four priorities with aging; preempting means freezing, not aborting
- [ ] Exclusive operation above ~60 % RAM; never time-slice two large runs
- [ ] A PSI reader every two seconds, six signals, escalation ladder throttle → block → freeze → checkpoint → escalate (OP-6)
- [ ] Record peak RSS and runtime per repository and phase; after three runs, mechanical admission
- [ ] The queue in Postgres with SKIP LOCKED, no second broker

### Done when
- Under generated memory pressure the scheduler freezes the lowest priority, aborts nothing, the control plane stays operable. The control layer stays within 4 cores and 16 GB.

### Boundary of this issue
Admission does not read the five constants from E-05. It decides exclusively on PSI and measured peak RSS."
AP-3.8,work_package,"AP-3.8 · Observation: one trace per job, four alerts, a separate audit trail","Stage 3 — Smallest system, without a captain","acceptance/blocker,effort/M,kind/operations,panel/A,panel/B,panel/K,panel/Q,panel/R,stage/3","AP-3.5, AP-3.7",M,"B-03, K-01, Q-04, R-D, B-02, A-05","SP-B03-1 through SP-B03-6, SP-K01-7, SP-Q04-4, SP-RD-2, SP-B02-5, SP-A05-5","AB-B03-1, AB-B03-3, AB-B03-4, AB-K01-7, AB-Q04-4, AB-RD-2, AB-B02-5, AB-A05-5, AB-A06-9","**Stage:** 3 · **Panels:** B-03, K-01, Q-04, R-D, B-02, A-05 · **Effort:** M
**Blocked by:** AP-3.5, AP-3.7
**Specification:** SP-B03-1 through SP-B03-6, SP-K01-7, SP-Q04-4, SP-RD-2, SP-B02-5, SP-A05-5
**Acceptance:** AB-B03-1, AB-B03-3, AB-B03-4, AB-K01-7, AB-Q04-4, AB-RD-2, AB-B02-5, AB-A05-5, AB-A06-9

### Goal
The unit of observation is the job, not the process and not the node. A fifth alert devalues the four.

### Tasks
- [ ] One trace from the envelope to the result, with the phases from R-B as spans
- [ ] Cost, attempt, evidence class, model, prompt and pipeline version on the trace
- [ ] Pod logs to the node immediately, tagged with the job ID and attempt, kept as evidence
- [ ] The audit trail separate and immutable, with its own period
- [ ] Exactly four waking alerts; rejected egress targets into the display; a disk alert
- [ ] Feed the occupancy table in operation from cpu.pressure and memory.pressure

### Done when
- A completed job is reconstructible from the channel message to the patch in ONE query.

### Boundary of this issue
No dashboards for processes or nodes. Everything else is trimming."
