id	kind	state	work_package	evidence
AB-F04-5	P	red	AP-4.4	
AB-F05-1	P	red	AP-5.6	
AB-F05-2	P	red	AP-7.1	
AB-F05-3	S	red	AP-4.2	
AB-F06-1	S	red	AP-5.4	
AB-F07-1	S	red	AP-4.2	
AB-F07-3	P	red	AP-4.4	
AB-F07-4	D	red	AP-4.2	
AB-G01-2	P	red	AP-4.1	
AB-G01-3	P	red	AP-4.1	
AB-G01-4	S	red	AP-4.1	
AB-G01-5	S	green	AP-0.1	https://github.com/Cheety/warft/actions/runs/30295919018
AB-G02-1	P	red	AP-8.2	
AB-G02-2	P	red	AP-8.2	
AB-G02-3	P	red	AP-8.2	
AB-G03-1	S	red	AP-4.1	
AB-G03-2	P	red	AP-4.1	
AB-G04-1	S	red	AP-8.2	
AB-G04-2	M	red	AP-8.2	
AB-G04-3	P	red	AP-8.2	
AB-G05-1	S	red	AP-4.1	
AB-G05-2	P	red	AP-8.2	
AB-G06-1	S	red	AP-4.2	
AB-G06-2	M	red	AP-8.2	
AB-G07-1	S	red	AP-4.3	
AB-G07-3	P	red	AP-4.3	
AB-G07-6	P	red	AP-4.3	
AB-G07-7	P	red	AP-4.3	
AB-G07-9	S	red	AP-4.3	
AB-K01-1	S	green	AP-2.2	https://github.com/Cheety/warft/actions/runs/30208499668
AB-K01-2	P	green	AP-2.2	https://github.com/Cheety/warft/actions/runs/30208499668
AB-K01-3	S	green	AP-2.2	https://github.com/Cheety/warft/actions/runs/30208499668
AB-K01-4	S	green	AP-2.2	https://github.com/Cheety/warft/actions/runs/30208499668
AB-K01-5	P	green	AP-2.2	https://github.com/Cheety/warft/actions/runs/30208499668
AB-K01-6	P	green	AP-3.2	https://github.com/Cheety/warft/actions/runs/30301092282
AB-K01-7	S	red	AP-3.8	
AB-K02-1	P	green	AP-2.3	https://github.com/Cheety/warft/actions/runs/30209124839
AB-K02-2	S	green	AP-2.3	https://github.com/Cheety/warft/actions/runs/30209124839
AB-K02-3	P	green	AP-2.3	https://github.com/Cheety/warft/actions/runs/30209124839
AB-K02-4	S	red	AP-5.1	
AB-K02-5	P	green	AP-2.3	https://github.com/Cheety/warft/actions/runs/30209124839
AB-K02-7	S	red	AP-7.5	
AB-K03-1	P	red	AP-3.5	
AB-K03-2	P	red	AP-3.5	
AB-K03-3	P	red	AP-3.5	
AB-K03-4	P	red	AP-3.5	
AB-K03-5	P	red	AP-3.5	
AB-K04-1	S	green	AP-2.4	https://github.com/Cheety/warft/actions/runs/30210012147
AB-K04-2	P	green	AP-2.4	https://github.com/Cheety/warft/actions/runs/30210012147
AB-K04-3	P	green	AP-2.4	https://github.com/Cheety/warft/actions/runs/30210012147
AB-K04-5	S	red	AP-6.1	
AB-K04-6	P	green	AP-2.4	https://github.com/Cheety/warft/actions/runs/30210012147
AB-K04-7	P	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-Q01-1	S	red	AP-5.1	
AB-Q01-2	P	red	AP-5.1	
AB-Q01-3	P	red	AP-5.1	
AB-Q01-4	P	red	AP-5.1	
AB-Q01-5	S	red	AP-5.1	
AB-Q01-6	P	red	AP-5.1	
AB-Q02-1	S	red	AP-5.4	
AB-Q02-2	P	red	AP-5.4	
AB-Q02-3	S	red	AP-5.4	
AB-Q02-4	P	red	AP-5.4	
AB-Q02-6	P	red	AP-5.4	
AB-Q03-1	S	red	AP-7.3	
AB-Q03-2	M	red	AP-7.3	
AB-Q04-1	S	red	AP-7.2	
AB-Q04-2	S	red	AP-7.2	
AB-Q04-4	S	red	AP-3.8	
AB-Q04-5	D	red	AP-7.1	
AB-Q04-7	S	red	AP-7.2	
AB-RA-1	S	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-RA-2	P	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-RA-4	P	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-RB-1	S	red	AP-3.7	
AB-RB-2	M	red	AP-3.7	
AB-RB-3	M	red	AP-3.7	
AB-RB-4	P	red	AP-3.7	
AB-RB-5	S	red	AP-3.7	
AB-RC-1	P	red	AP-3.7	
AB-RC-3	S	red	AP-3.7	
AB-RC-4	P	green	AP-3.1	https://github.com/Cheety/warft/actions/runs/30295919685
AB-RC-5	P	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-RC-6	M	red	AP-3.7	
AB-RD-2	S	red	AP-3.8	
AB-RD-3	P	red	AP-3.7	
AB-T01-1	S	red	AP-5.7	
AB-T01-4	P	red	AP-5.7	
AB-T01-5	P	red	AP-5.7	
AB-T01-6	P	red	AP-5.7	
AB-T01-7	P	green	AP-3.2	https://github.com/Cheety/warft/actions/runs/30301092282
AB-T01-8	S	red	AP-3.6	
AB-T01-9	P	red	AP-5.7	
AB-T02-2	P	red	AP-5.5	
AB-T02-3	P	red	AP-5.5	
AB-T02-4	S	red	AP-5.5	
AB-T02-6	M	red	AP-5.5	
AB-T02-7	P	red	AP-5.5	
AB-T02-9	S	red	AP-5.5	
AB-T03-1	M	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-T03-3	S	red	AP-5.2	
AB-T04-2	P	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-T04-3	S	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-T04-4	S	green	AP-2.1	https://github.com/Cheety/warft/actions/runs/30206672990
AB-T04-5	S	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-T05-1	S	red	AP-3.4	
AB-T05-2	P	red	AP-3.4	
AB-T05-3	S	red	AP-3.4	
AB-V01-1	S	green	AP-3.1	https://github.com/Cheety/warft/actions/runs/30295919685
AB-V01-2	D	red	AP-6.5	
AB-V01-3	P	red	AP-5.5	
AB-V01-4	M	red	AP-3.7	
AB-V02-1	S	red	AP-6.2	
AB-V02-2	P	red	AP-6.3	
AB-V02-3	D	red	AP-6.5	
AB-V02-4	M	red	AP-6.2	
AB-V02-5	D	red	AP-6.5	
AB-V03-1	P	red	AP-8.1	
AB-V03-2	P	red	AP-8.1	
AB-V03-5	M	red	AP-8.1	
AB-V03-6	D	red	AP-8.1	
AB-V04-1	S	red	AP-3.6	
AB-V04-2	P	red	AP-3.6	
AB-V04-4	M	red	AP-3.6	
AB-V04-6	S	red	AP-7.4	
AB-V05-1	P	red	AP-6.5	
AB-V05-2	P	green	AP-2.2	https://github.com/Cheety/warft/actions/runs/30208499668
AB-V05-3	D	red	AP-6.5	
